run_id,density_class,edge_prob,n_courses,n_edges,k_colours,seed,algorithm,solved,valid,steps,conflicts,time_sec,peak_memory_kb
1,sparse,0.1,10,7,3,1,plain,True,True,14,4,4.8e-05,0.734
2,sparse,0.1,10,7,3,1,pruning,True,True,10,0,0.000132,1.609
3,sparse,0.1,10,5,2,2,plain,True,True,14,4,3.7e-05,0.758
4,sparse,0.1,10,5,2,2,pruning,True,True,10,0,0.000109,1.25
5,sparse,0.1,10,5,2,3,plain,True,True,13,3,3.3e-05,0.758
6,sparse,0.1,10,5,2,3,pruning,True,True,10,0,0.000205,1.172
7,sparse,0.1,15,12,2,1,plain,True,True,219,106,0.000315,1.539
8,sparse,0.1,15,12,2,1,pruning,True,True,15,0,0.000156,2.117
9,sparse,0.1,15,9,2,2,plain,True,True,40,16,7.4e-05,2.164
10,sparse,0.1,15,9,2,2,pruning,True,True,15,0,0.000155,1.93
11,sparse,0.1,15,12,2,3,plain,True,True,419,206,0.000682,1.406
12,sparse,0.1,15,12,2,3,pruning,True,True,15,0,0.000152,1.961
13,sparse,0.1,20,23,3,1,plain,True,True,34,14,6.7e-05,1.422
14,sparse,0.1,20,23,3,1,pruning,True,True,20,0,0.000252,3.039
15,sparse,0.1,20,21,3,2,plain,True,True,32,12,6.5e-05,1.422
16,sparse,0.1,20,21,3,2,pruning,True,True,20,0,0.000225,2.508
17,sparse,0.1,20,19,2,3,plain,True,True,27,7,6.1e-05,1.422
18,sparse,0.1,20,19,2,3,pruning,True,True,20,0,0.000219,2.445
19,sparse,0.1,25,34,3,1,plain,True,True,74,39,0.00012,2.359
20,sparse,0.1,25,34,3,1,pruning,True,True,25,0,0.000323,4.031
21,sparse,0.1,25,34,3,2,plain,True,True,39,14,8e-05,2.516
22,sparse,0.1,25,34,3,2,pruning,True,True,25,0,0.000293,3.531
23,sparse,0.1,25,30,3,3,plain,True,True,953,625,0.001896,2.961
24,sparse,0.1,25,30,3,3,pruning,True,True,25,0,0.000322,3.461
25,sparse,0.1,30,49,4,1,plain,True,True,53,23,0.0001,2.492
26,sparse,0.1,30,49,4,1,pruning,True,True,30,0,0.000372,4.016
27,sparse,0.1,30,45,3,2,plain,True,True,64,31,0.000109,2.492
28,sparse,0.1,30,45,3,2,pruning,True,True,30,0,0.000417,3.781
29,sparse,0.1,30,43,3,3,plain,True,True,54,24,0.000108,2.516
30,sparse,0.1,30,43,3,3,pruning,True,True,30,0,0.000423,3.789
31,sparse,0.1,40,81,4,1,plain,True,True,4357,3248,0.009901,5.867
32,sparse,0.1,40,81,4,1,pruning,True,True,40,0,0.000602,5.672
33,sparse,0.1,40,71,4,2,plain,True,True,136,83,0.000212,4.734
34,sparse,0.1,40,71,4,2,pruning,True,True,40,0,0.00053,5.062
35,sparse,0.1,40,82,4,3,plain,False,,3642916,2732138,8.000118,5.906
36,sparse,0.1,40,82,4,3,pruning,True,True,40,0,0.000837,4.961
37,sparse,0.1,50,118,5,1,plain,True,True,120,70,0.0002,4.906
38,sparse,0.1,50,118,5,1,pruning,True,True,50,0,0.000982,8.5
39,sparse,0.1,50,113,4,2,plain,False,,3378104,2533517,8.000142,10.969
40,sparse,0.1,50,113,4,2,pruning,True,True,50,0,0.000925,8.0
41,sparse,0.1,50,124,4,3,plain,True,True,128814,96588,0.300012,10.953
42,sparse,0.1,50,124,4,3,pruning,True,True,50,0,0.000922,7.992
43,sparse,0.1,65,204,5,1,plain,False,,3043240,2434478,8.000247,11.305
44,sparse,0.1,65,204,5,1,pruning,True,True,65,0,0.001786,11.82
45,sparse,0.1,65,190,5,2,plain,True,True,370036,295994,0.974283,11.109
46,sparse,0.1,65,190,5,2,pruning,True,True,65,0,0.001876,11.711
47,sparse,0.1,65,203,5,3,plain,True,True,166,101,0.000291,4.906
48,sparse,0.1,65,203,5,3,pruning,True,True,65,0,0.001586,11.688
49,sparse,0.1,80,324,6,1,plain,True,True,233,153,0.00041,5.359
50,sparse,0.1,80,324,6,1,pruning,True,True,80,0,0.002838,15.523
51,sparse,0.1,80,291,6,2,plain,True,True,212,132,0.000416,5.359
52,sparse,0.1,80,291,6,2,pruning,True,True,80,0,0.003416,15.336
53,sparse,0.1,80,301,6,3,plain,True,True,731849,609832,1.912987,11.75
54,sparse,0.1,80,301,6,3,pruning,True,True,80,0,0.002517,15.711
55,medium,0.3,10,18,4,1,plain,True,True,21,11,4e-05,0.758
56,medium,0.3,10,18,4,1,pruning,True,True,10,0,9.6e-05,1.414
57,medium,0.3,10,10,3,2,plain,True,True,16,6,3.2e-05,0.758
58,medium,0.3,10,10,3,2,pruning,True,True,10,0,0.000108,1.273
59,medium,0.3,10,11,3,3,plain,True,True,17,7,3.4e-05,0.758
60,medium,0.3,10,11,3,3,pruning,True,True,10,0,8.8e-05,1.273
61,medium,0.3,15,29,4,1,plain,True,True,33,18,5.1e-05,1.289
62,medium,0.3,15,29,4,1,pruning,True,True,15,0,0.000154,2.078
63,medium,0.3,15,26,4,2,plain,True,True,28,13,5.3e-05,1.289
64,medium,0.3,15,26,4,2,pruning,True,True,15,0,0.000156,2.203
65,medium,0.3,15,25,3,3,plain,True,True,28,13,4.9e-05,1.289
66,medium,0.3,15,25,3,3,pruning,True,True,15,0,0.000146,2.125
67,medium,0.3,20,58,5,1,plain,True,True,44,24,7.6e-05,1.422
68,medium,0.3,20,58,5,1,pruning,True,True,20,0,0.000238,2.938
69,medium,0.3,20,59,6,2,plain,True,True,50,30,0.000105,1.422
70,medium,0.3,20,59,6,2,pruning,True,True,20,0,0.00024,2.867
71,medium,0.3,20,48,4,3,plain,True,True,45,25,6.8e-05,1.398
72,medium,0.3,20,48,4,3,pruning,True,True,20,0,0.00026,2.461
73,medium,0.3,25,97,5,1,plain,True,True,4605,3672,0.009099,4.188
74,medium,0.3,25,97,5,1,pruning,True,True,25,0,0.000458,4.039
75,medium,0.3,25,92,5,2,plain,True,True,63,38,0.000156,2.492
76,medium,0.3,25,92,5,2,pruning,True,True,25,0,0.000441,4.016
77,medium,0.3,25,78,4,3,plain,True,True,643,471,0.001181,2.945
78,medium,0.3,25,78,4,3,pruning,True,True,25,0,0.000444,3.719
79,medium,0.3,30,138,6,1,plain,True,True,123,88,0.000185,2.516
80,medium,0.3,30,138,6,1,pruning,True,True,30,0,0.000728,4.617
81,medium,0.3,30,124,6,2,plain,True,True,119,85,0.000181,2.516
82,medium,0.3,30,124,6,2,pruning,True,True,30,0,0.000628,4.586
83,medium,0.3,30,122,6,3,plain,True,True,15380,12801,0.034297,5.398
84,medium,0.3,30,122,6,3,pruning,True,True,30,0,0.000575,4.477
85,medium,0.3,40,228,7,1,plain,True,True,4179,3562,0.009879,5.867
86,medium,0.3,40,228,7,1,pruning,True,True,40,0,0.001026,6.078
87,medium,0.3,40,226,6,2,plain,True,True,163137,135929,0.380552,5.844
88,medium,0.3,40,226,6,2,pruning,True,True,40,0,0.000907,5.508
89,medium,0.3,40,230,7,3,plain,True,True,136,96,0.00022,2.703
90,medium,0.3,40,230,7,3,pruning,True,True,40,0,0.000862,6.117
91,medium,0.3,50,346,8,1,plain,True,True,4031,3500,0.008674,10.891
92,medium,0.3,50,346,8,1,pruning,True,True,50,0,0.001302,9.891
93,medium,0.3,50,356,8,2,plain,True,True,197,147,0.000276,4.93
94,medium,0.3,50,356,8,2,pruning,True,True,50,0,0.001368,10.133
95,medium,0.3,50,368,7,3,plain,False,,3174857,2721212,8.000319,11.031
96,medium,0.3,50,368,7,3,pruning,True,True,50,0,0.0019,8.992
97,medium,0.3,65,606,10,1,plain,True,True,297,232,0.000475,4.906
98,medium,0.3,65,606,10,1,pruning,True,True,65,0,0.00213,14.469
99,medium,0.3,65,608,9,2,plain,True,True,42365,37624,0.106099,11.555
100,medium,0.3,65,608,9,2,pruning,True,True,65,0,0.002225,14.07
101,medium,0.3,65,625,9,3,plain,False,,3247317,2886311,8.000652,11.578
102,medium,0.3,65,625,9,3,pruning,True,True,65,0,0.002574,13.93
103,medium,0.3,80,939,11,1,plain,True,True,138510,125875,0.427125,12.086
104,medium,0.3,80,939,11,1,pruning,True,True,80,0,0.003848,18.484
105,medium,0.3,80,921,11,2,plain,True,True,3446,3090,0.010023,12.023
106,medium,0.3,80,921,11,2,pruning,True,True,80,0,0.003523,19.047
107,medium,0.3,80,947,11,3,plain,True,True,45733,41533,0.137626,12.203
108,medium,0.3,80,947,11,3,pruning,True,True,80,0,0.003325,19.07
109,dense,0.55,10,29,5,1,plain,True,True,25,15,4.6e-05,0.758
110,dense,0.55,10,29,5,1,pruning,True,True,10,0,0.000111,1.477
111,dense,0.55,10,22,4,2,plain,True,True,22,12,3.6e-05,0.758
112,dense,0.55,10,22,4,2,pruning,True,True,10,0,9.4e-05,1.352
113,dense,0.55,10,23,4,3,plain,True,True,22,12,3.6e-05,0.758
114,dense,0.55,10,23,4,3,pruning,True,True,10,0,9.2e-05,1.383
115,dense,0.55,15,60,6,1,plain,True,True,1356,1123,0.002365,2.789
116,dense,0.55,15,60,6,1,pruning,True,True,15,0,0.000209,2.469
117,dense,0.55,15,54,5,2,plain,True,True,57,39,8.2e-05,1.289
118,dense,0.55,15,54,5,2,pruning,True,True,15,0,0.000237,2.344
119,dense,0.55,15,48,5,3,plain,True,True,38,23,6.5e-05,1.289
120,dense,0.55,15,48,5,3,pruning,True,True,15,0,0.000194,2.258
121,dense,0.55,20,110,7,1,plain,True,True,1251790,1072953,2.36458,2.922
122,dense,0.55,20,110,7,1,pruning,True,True,20,0,0.000323,3.117
123,dense,0.55,20,107,7,2,plain,True,True,84181,72146,0.15697,2.961
124,dense,0.55,20,107,7,2,pruning,True,True,20,0,0.000314,3.156
125,dense,0.55,20,100,5,3,plain,True,True,732,577,0.001139,2.828
126,dense,0.55,20,100,5,3,pruning,True,True,20,0,0.000356,2.969
127,dense,0.55,25,170,8,1,plain,True,True,2677,2331,0.004839,4.211
128,dense,0.55,25,170,8,1,pruning,True,True,25,0,0.00043,4.703
129,dense,0.55,25,172,8,2,plain,True,True,97,72,0.000126,2.516
130,dense,0.55,25,172,8,2,pruning,True,True,25,0,0.000543,4.562
131,dense,0.55,25,160,7,3,plain,True,True,33846,28999,0.06395,2.984
132,dense,0.55,25,160,7,3,pruning,True,True,25,0,0.000635,4.359
133,dense,0.55,30,246,9,1,plain,True,True,136,106,0.00017,2.516
134,dense,0.55,30,246,9,1,pruning,True,True,30,0,0.000582,5.289
135,dense,0.55,30,241,10,2,plain,True,True,134,104,0.00017,2.516
136,dense,0.55,30,241,10,2,pruning,True,True,30,0,0.000833,5.57
137,dense,0.55,30,236,9,3,plain,True,True,992,865,0.001765,5.375
138,dense,0.55,30,236,9,3,pruning,True,True,30,0,0.000552,5.438
139,dense,0.55,40,425,11,1,plain,True,True,213,172,0.00026,2.703
140,dense,0.55,40,425,11,1,pruning,True,True,40,0,0.000888,7.461
141,dense,0.55,40,433,11,2,plain,False,,3688069,3352639,8.00048,5.883
142,dense,0.55,40,433,11,2,pruning,True,True,40,0,0.001017,7.531
143,dense,0.55,40,428,10,3,plain,True,True,2992036,2692812,7.059649,5.906
144,dense,0.55,40,428,10,3,pruning,True,True,40,0,0.000955,7.062
145,dense,0.55,50,670,13,1,plain,True,True,316,266,0.000477,4.961
146,dense,0.55,50,670,13,1,pruning,True,True,50,0,0.001392,11.836
147,dense,0.55,50,672,12,2,plain,False,,3251760,2980578,8.000627,10.992
148,dense,0.55,50,672,12,2,pruning,True,True,50,0,0.001833,11.555
149,dense,0.55,50,693,13,3,plain,False,,3272100,3020143,8.000681,10.969
150,dense,0.55,50,693,13,3,pruning,True,True,50,0,0.001396,12.109
