density_class,n_courses,algorithm,time_sec,steps,conflicts,peak_memory_kb,solved_rate
dense,10,plain,4e-05,23.0,13.0,0.76,100.0
dense,10,pruning,0.0001,10.0,0.0,1.4,100.0
dense,15,plain,0.00084,483.7,395.0,1.79,100.0
dense,15,pruning,0.00021,15.0,0.0,2.36,100.0
dense,20,plain,0.8409,445567.7,381892.0,2.9,100.0
dense,20,pruning,0.00033,20.0,0.0,3.08,100.0
dense,25,plain,0.02297,12206.7,10467.333333333334,3.24,100.0
dense,25,pruning,0.00054,25.0,0.0,4.54,100.0
dense,30,plain,0.0007,420.7,358.3333333333333,3.47,100.0
dense,30,pruning,0.00066,30.0,0.0,5.43,100.0
dense,40,plain,5.02013,2226772.7,2015207.6666666667,4.83,66.7
dense,40,pruning,0.00095,40.0,0.0,7.35,100.0
dense,50,plain,5.33393,2174725.3,2000329.0,8.97,33.3
dense,50,pruning,0.00154,50.0,0.0,11.83,100.0
dense,65,plain,4.24349,1541294.3,1444818.0,9.35,66.7
dense,65,pruning,0.00245,65.0,0.0,17.67,100.0
dense,80,plain,6.2275,2131787.3,2007043.3333333333,11.9,33.3
dense,80,pruning,0.00352,80.0,0.0,23.12,100.0
medium,10,plain,4e-05,18.0,8.0,0.76,100.0
medium,10,pruning,0.0001,10.0,0.0,1.32,100.0
medium,15,plain,5e-05,29.7,14.666666666666666,1.29,100.0
medium,15,pruning,0.00015,15.0,0.0,2.14,100.0
medium,20,plain,8e-05,46.3,26.333333333333332,1.41,100.0
medium,20,pruning,0.00025,20.0,0.0,2.76,100.0
medium,25,plain,0.00348,1770.3,1393.6666666666667,3.21,100.0
medium,25,pruning,0.00045,25.0,0.0,3.92,100.0
medium,30,plain,0.01155,5207.3,4324.666666666667,3.48,100.0
medium,30,pruning,0.00064,30.0,0.0,4.56,100.0
medium,40,plain,0.13022,55817.3,46529.0,4.8,100.0
medium,40,pruning,0.00093,40.0,0.0,5.9,100.0
medium,50,plain,2.66976,1059695.0,908286.3333333334,8.95,66.7
medium,50,pruning,0.00152,50.0,0.0,9.67,100.0
medium,65,plain,2.70241,1096659.7,974722.3333333334,9.35,66.7
medium,65,pruning,0.00231,65.0,0.0,14.16,100.0
medium,80,plain,0.19159,62563.0,56832.666666666664,12.1,100.0
medium,80,pruning,0.00357,80.0,0.0,18.87,100.0
sparse,10,plain,4e-05,13.7,3.6666666666666665,0.75,100.0
sparse,10,pruning,0.00015,10.0,0.0,1.34,100.0
sparse,15,plain,0.00036,226.0,109.33333333333333,1.7,100.0
sparse,15,pruning,0.00015,15.0,0.0,2.0,100.0
sparse,20,plain,6e-05,31.0,11.0,1.42,100.0
sparse,20,pruning,0.00023,20.0,0.0,2.66,100.0
sparse,25,plain,0.0007,355.3,226.0,2.61,100.0
sparse,25,pruning,0.00031,25.0,0.0,3.67,100.0
sparse,30,plain,0.00011,57.0,26.0,2.5,100.0
sparse,30,pruning,0.0004,30.0,0.0,3.86,100.0
sparse,40,plain,2.67008,1215803.0,911823.0,5.5,66.7
sparse,40,pruning,0.00066,40.0,0.0,5.23,100.0
sparse,50,plain,2.76678,1169012.7,876725.0,8.94,66.7
sparse,50,pruning,0.00094,50.0,0.0,8.16,100.0
sparse,65,plain,2.99161,1137814.0,910191.0,9.11,66.7
sparse,65,pruning,0.00175,65.0,0.0,11.74,100.0
sparse,80,plain,0.63794,244098.0,203372.33333333334,7.49,100.0
sparse,80,pruning,0.00292,80.0,0.0,15.52,100.0
